paper,citekey,figure_or_table,result_section,page,claim,evidence_summary,variable_or_neural_object,analysis_method,causal_status,relevance_to_research_question,uncertainty,notes
Computation Through Neural Population Dynamics,vyas_2020_computation_through_neural,Figure 3,Section 2.2,Page 7-8,"Complex, high-dimensional nonlinear neural systems can be understood by training an RNN model and analyzing it through local linear approximations (linearizing around fixed points).",Proposes tiling RNNs with multiple LDSs (linearizing around fixed points) to understand nonlinear dynamics.,RNN hidden states / latent state,linear dynamical systems (LDS) / identifying fixed points,theoretical / methodological review,"Lays the conceptual and mathematical groundwork for evaluating papers that claim ""computation through dynamics.""",figure-level visual evidence not available from extracted text alone,trial note generated from extracted PDF text
Computation Through Neural Population Dynamics,vyas_2020_computation_through_neural,Figure 6,Section 3.1,Page 12-13,"Motor preparation acts as an initial condition for a dynamical system, avoiding premature movement by residing in an output-null subspace.","Reviews studies (e.g., Kaufman et al., 2014) showing preparatory activity is orthogonal to movement dimensions.",Neural population state,Dimensionality reduction / subspace analysis,review / synthesis of prior experimental evidence,Challenges a strict PFC-centered view by showing that these dynamical concepts originated and are deeply validated in the motor system.,review-level evidence; original cited study (Kaufman et al. 2014) should be checked,trial note generated from extracted PDF text
Computation Through Neural Population Dynamics,vyas_2020_computation_through_neural,Not extracted / unclear,Section 3.2,Page 13-14,Rotational dynamics form a basis set for complex time-varying patterns (e.g., muscle activity).,"Notes that rotational dynamics form a basis set for complex time-varying patterns (e.g., muscle activity).",Neural population dynamics,Dimensionality reduction,review / synthesis of prior experimental evidence,"Lays the conceptual and mathematical groundwork for evaluating papers that claim ""computation through dynamics.""",figure/table unclear from extracted text; original cited studies should be checked,trial note generated from extracted PDF text
Computation Through Neural Population Dynamics,vyas_2020_computation_through_neural,Not extracted,Section 3.4,Page 16-17,"Within-manifold perturbations are learned quickly via neural reassociation, while outside-manifold learning is slow.","Reviews evidence that within-manifold perturbations are learned quickly via neural reassociation, while outside-manifold learning is slow.",Neural population state,Dimensionality reduction / manifold analysis,review / synthesis; not original causal test in this paper,"Lays the conceptual and mathematical groundwork for evaluating papers that claim ""computation through dynamics.""",figure/table unclear from extracted text; review-level evidence; original cited studies should be checked,trial note generated from extracted PDF text
Brain-wide topographic coordination of traveling waves,ye_2026_brainwide_topographic_coordination,Figure 1,Results / Spontaneous activity,Page 1-3,Rotating waves occur in spontaneous and evoked cortical activity,Wide-field calcium imaging shows 2-8 Hz rotating wave patterns centered in somatosensory cortex during different arousal states.,2-8 Hz rotating wave phase maps,Wide-field calcium imaging / Optical flow,original experimental evidence,Shows macroscopic population dynamics across brain regions.,figure-level visual evidence not available from extracted text alone,trial note generated from extracted PDF text
Brain-wide topographic coordination of traveling waves,ye_2026_brainwide_topographic_coordination,Figure 2,Results / An axonal basis for rotating waves,Page 4,Circular local axonal architecture supports rotating waves,Reconstructions of single neurons show axonal orientations match rotating wave flow vectors; circular-bias coupled oscillator model stabilizes rotating waves.,Single neuron axonal arbors / Flow vectors,Anatomical tracing / Coupled oscillator modeling,original experimental evidence / theoretical modeling,Links structural connectivity with emergent population dynamics.,figure-level visual evidence not available from extracted text alone,trial note generated from extracted PDF text
Brain-wide topographic coordination of traveling waves,ye_2026_brainwide_topographic_coordination,Figure 3,Results / Topographically mirrored rotating waves,Page 5-6,Local circuitry in SSp is necessary for normal rotating waves,"Bilateral cuts within SSp significantly reduced rotating wave rates in both SSp and motor cortex (MOs, MOp).",2-8 Hz rotating waves,Physical perturbation / Wide-field calcium imaging,original experimental evidence / perturbational,Proves a causal role of localized circuitry for a distributed wave phenomenon.,figure-level visual evidence not available from extracted text alone,trial note generated from extracted PDF text
Brain-wide topographic coordination of traveling waves,ye_2026_brainwide_topographic_coordination,Figure 4,Results / Brain-wide coordination of rotating waves,Page 6-7,Cortical rotating waves are coordinated with subcortical areas,"Reduced-rank regression predicts cortical phase maps and rotating waves from spiking activity in thalamus, striatum, and midbrain.",Cortical phase maps / Subcortical spiking,Reduced-rank regression,original experimental evidence,Validates brain-wide distributed nature of population dynamics.,figure-level visual evidence not available from extracted text alone,trial note generated from extracted PDF text
Brain-wide topographic coordination of traveling waves,ye_2026_brainwide_topographic_coordination,Figure 6,Results / Rotating waves in visual-motor behavior,Page 8,Large rotating waves are recruited during correct visual-motor behavior,In a visual detection task the rate of large rotating waves doubled after stimulus onset in correct trials but not in incorrect/miss trials.,2-8 Hz rotating waves,Wide-field calcium imaging during behavior,original experimental evidence / correlational,Ties multi-area traveling waves directly to cognitive control / flexible behavior performance.,figure-level visual evidence not available from extracted text alone,trial note generated from extracted PDF text
